from,to,value
2,19,1
2,7,1
2,18,1
2,0,1
2,15,1
3,14,1
3,0,1
3,2,1
3,4,1
4,8,1
4,6,1
4,0,1
5,19,1
5,8,1
5,0,1
5,12,1
6,0,1
6,7,1
6,18,1
6,3,1
7,5,1
7,9,1
7,0,1
7,16,1
8,0,1
8,14,1
8,2,1
8,4,1
9,19,1
9,5,1
9,0,1
9,10,1
10,14,1
10,4,1
10,13,1
10,12,1
10,0,1
11,8,1
11,4,1
11,0,1
11,10,1
12,11,1
12,5,1
12,2,1
12,0,1
13,3,1
13,15,1
13,0,1
13,10,1
14,5,1
14,0,1
14,9,1
14,18,1
15,14,1
15,7,1
15,18,1
15,0,1
16,19,1
16,18,1
16,0,1
18,6,1
18,15,2
18,0,1
18,4,1
19,0,1
